,text,preprocessed,cluster
0,"so fidel castro just died and now i'm seeing commies popping up everywhere lol,,,,",fidel castro,2
1,"11 dead 4 injured in paris shooting #paris,,,,",dead paris,26
2,"""congrats team india to win the test series """"4-0"""" against england..;now interesting to read tweet.."",,,,",team india win test series,26
3,"congratulations to all indians for winning kabadi world cup 2016,,,,",kabadi world cup,26
4,"earthquake sparks japan tsunami warning,,,,",earthquake japan tsunami,11
5,"proud of team india on winning kabaddi world cup,,,,",proud team india kabaddi world,26
6,"yo trump just won florida he might actually win,,,,",trump florida might actually,23
7,"rip fidel castro,,,,",rip fidel,2
8,"magnitude 7.3 earthquake strikes off fukushima in japan,,,,",magnitude earthquake fukushima,11
9,"alicia vikander is the whitest person in the room and still the most tan. how?,,,,",alicia vikander person still,1
10,"significant 7.3 magnitude earth quake near ne japan - tsunami imminent,,,,",magnitude quake near japan tsunami,11
11,"just won the state of florida!!! awesome,,,,",state,23
12,"disgusted that trump won florida,,,,",trump,23
13,"snapchats no working,,,,",snapchats,4
14,"karun nair scores a triple century,,,,",karun nair triple,15
15,"a win from a great woman for an important film. congratulations alicia vikander.,,,,",win great woman alicia,1
16,"chennai pitch is hiding karun nair's flaws.,,,,",chennai karun,15
17,"india kabaddi world cup champion 2016!!!,,,,",india kabaddi world cup champion,26
18,"former cuban president fidel castro dies at age 90,, president raul castro announces.,,",former cuban president fidel castro age president raul castro,2
19,"26 people now confirmed dead in paris. thoughts go out to the victims families &amp; friends.,,,,",people dead go,26
20,"my snapchat isn't working and its really making me mad.,,,,",snapchat really,5
21,"former cuban leader,,,,",former cuban,20
22,"fidel castro: can i live just one more day;god:,,,,",fidel live one,2
23,"fidel castro sucked but i'm ordering another beer for that 90 year old,,,,",fidel castro another year,2
24,"fidel castro died? now dale gribble aka can relax.,,,,",fidel castro,2
25,"congratulations to team india for winning the kabaddi world cup 2016,,,,",team india kabaddi world cup,26
26,"who else's snapchat isn't working ? or is it my shocking internet,,,,",snapchat,5
27,"did alicia vikander's publicist tell her to black up to get more screen time?,,,,",alicia black get,1
28,"fidel castro dies at 90,,,,",fidel castro,2
29,"congrats to indian cricket team for win match n series by 4-0,,,,",congrats indian cricket team win match n series,26
30,"single to karun nair,,,,",single karun,15
31,"fidel castro is dead! that's one dictator down,,,,",fidel castro one dictator,2
32,"congrats team india to won the kabaddi world cup.... proud to be an indian...,,,,",congrats team india kabaddi world proud,26
33,"alicia vikander totally deserves this award!! she gave a breath taking performance! congrats!!!,,,,",alicia vikander,1
34,"fidel castro of cuba is dead.,,,,",fidel castro cuba,2
35,"fidel castro died.;i wonder who is going to tell since he was defending him.;,,,,",fidel castro wonder since,2
36,"kabaddi world cup: india beat iran 38-29 to lift third straight title,,,,",kabaddi world india beat iran lift third,26
37,"this must seem like a beautiful dream for karun nair.,,,,",must seem like dream karun,15
38,"what a terrific match this is.. un believable bowling and extraordinary batting performance..hats up team india,,,,",match team,26
39,"the highest scores for india in tests against england: karun nair goes past virat kohli's 235 in mumbai;;,,,,",highest india karun nair past virat,15
40,"no tsunami threat to the us after a 6.9 earthquake off the east coast of japan...,,,,",tsunami earthquake coast,11
41,"""new post: """"tsunami warning issued in japan following 6.9 magnitude quake"""""",,,,",japan magnitude,11
42,"karun nair batting superbly. india have dominated the english. return series next year nicely poised. kohli was born a leader,,,,",karun nair india series next year kohli,15
43,"congrats india on winning the kabaddi world cup 2016,,,,",congrats india kabaddi world cup,26
44,"why isn't my snapchat working???,,,,",snapchat,5
45,"fidel castro jokes should be good.,,,,",fidel castro,2
46,"ap reporting at least 26 dead so far as a result from attacks in #paris,,,,",ap least dead far,26
47,"comprehensive series victory! way to go team india *in*,,,,",series way go team india,26
48,"supporting actress should be alicia vikander. she had a great year.,,,,",actress alicia great,1
49,"alicia vikander was good in the danish girl. idk if she was the best in the category though,,,,",alicia vikander good danish idk best,1
50,": evacuation underway- plane was carrying 1st division brazilian team ;,,,,",evacuation plane brazilian team,18
51,"fidel castro,,,,",fidel,2
52,"i wonder why cnn isn't projecting florida or georgia into their electoral count,,,,",wonder cnn florida,23
53,"i'd love to see alicia vikander or jennifer jason leigh take this.,,,,",love see alicia vikander jennifer jason leigh take,1
54,"i had total mandela effect for fidel castro. like,,,,",total mandela effect fidel,2
55,"sad news,,,,",sad,30
56,"snapchat not working for anyone else?,,,,",snapchat anyone,5
57,"sick and saddened over #paris. heart breaking. unconfirmed reports of 18 dead after explosion,,,,",sick heart dead,26
58,"fidel castro died. smdh. 2016 out here snatching chains.,,,,",fidel castro,2
59,"signed and framed northern ireland norman whiteside 1982 world cup photo,,,,",world cup,26
60,"snapchat isn't working. i blame trump.,,,,",snapchat blame,5
61,"florence henderson and fidel castro in 24 hrs of each-other.,,,,",florence henderson fidel castro,2
62,"everytime snapchat stops working,,,,",snapchat,5
63,"india - the kabaddi world cup champion 2016. congratulations indians and well played iran. ;,,,,",india kabaddi world cup champion well,26
64,"my snap chat stopped working and i started freaking out,,,,",snap chat,4
65,"kabaddi world cup: india beat iran to win third successive title: a stellar come-from-behind win for india as...,,,,",kabaddi world india beat iran win third successive win india,26
66,"looks like even england wants karun nair to reach 300 so that kohli declares the innings,,,,",like even england karun nair reach kohli,15
67,"i won't be going back to florida anytime soon,,,,",back florida,23
68,"congratulations of indian team for winning the 4-0 test series,,,,",indian team test,26
69,"lol if trump was the reason why snapchat ain't working im gonna throw a tantrum,,,,",lol trump reason snapchat im gonna throw,5
70,"congratulations india on winning the kabaddi world cup 2016,,,,",india kabaddi world cup,26
71,"sparkling 303 of rising star karun nair that too not out.heartiest congratulations3 cheers join the nation to salute &amp;celebrate,,,,",star karun nair join,15
72,"2016 is not safe for anybody. even fidel castro took that last trip.,,,,",safe even fidel castro last,2
73,"powerful 7.3-magnitude earthquake strikes off japan,,,,",powerful earthquake,11
74,"fidel castro dies at age 90 -,,,,",fidel castro age,2
75,"former cuban pm and president fidel castro's struggle has ended.,,,,",former cuban pm president fidel struggle,2
76,"unfortunately fidel castro's death will not change things for cuba but i am still very happy,,,,",fidel death change cuba still,2
77,"innalilahi;alfatihah qt long-time cuban leader fidel castro dies at age 90,,,,",cuban leader fidel castro age,2
78,"paris. 30,,26, 11 dead explosions hostages;;cue social media feeding frenzy, obviously this is proof of &lt;insert conspiracy theory&gt;",dead,26
79,"man in restaurant/bar in paris,,,,",man,26
80,"so the cubs won and fidel castro is dead.....you sucked 2016....but you delivered.,,,,",fidel castro,2
81,"i'll never forget the first time we saw alicia vikander naked,,,,",never first time alicia vikander,1
82,"alicia vikander for best supporting actress pleaseeee,,,,",alicia vikander best actress,1
83,"snapchat not working for anyone else?,,,,",snapchat anyone,5
84,"karun nair's 271* is the 5th best score for an indian batsman in tests going past dravid's 270;;,,,,",karun best score indian batsman past,15
85,"karun nair 261 and india 700/6,,,,",karun nair india,15
86,"only my snapchat thats not working?,,,,",snapchat,5
87,"mom: of course hillary won colorado,, at least florida is smart enough to got trump.;me: fuggoff,,",hillary least florida enough,23
88,"not even fidel castro could survive 2016,,,,",even fidel castro could survive,2
89,"rip fidel castro at 90,,,,",rip fidel castro,2
90,"colin kaepernick called a hypocrite by miami columnist for defending fidel castro,,,,",colin kaepernick fidel,2
91,"karun nair solid batting at chepauk ! i can see all dead englishmens karnataka bois finding easy at tamilnadu rare thing to see,,,,",karun nair see dead thing,15
92,"nice to see karun nair trying to match batting legends like jayant yadav;;,,,,",see karun nair match like,15
93,"latest french media reports 18 dead in paris attacks #paris #breakingnews,,,,",latest french dead paris,26
94,"fidel castro died. the only one who confronted imperialism.;,,,,",fidel castro one,2
95,"trump won in florida thanks to all the uneducated cuban-americans.,,,,",trump florida,23
96,"karun nair what an epic innings !! converted the first century into tripple (303*) !!;fabulous innings young man ;,,,,",karun nair first century young man,15
97,"no update on casualties after a plane carrying members of a top-flight brazilian football team crashed in colombia.,,,,",update plane brazilian football team,18
98,"why is snap not working???,,,,",snap,4
99,"actress in supporting role: i'm rooting for alicia vikander but kate winslet could take this idk this one was hard i really liked steve jobs,,,,",actress alicia vikander kate could take idk one hard really,1
100,"plane carrying 81 involved in accident in colombia,,,,",plane,18
101,"fidel castro has died. click link for more info:,,,,",fidel castro,2
102,"many congratulations to indian team for wining kabaddi world cup,,,,",many indian team kabaddi world,26
103,"26 confirmed dead in paris. hostages. ;;if this is who i think it may be - it is time to erase them.,,,,",dead think may time,26
104,"fidel castro is dead at 90.,,,,",fidel castro dead,2
105,"my snapchats are not working nooo,,,,",snapchats,4
106,"congratulations on your retirement,,,,",,34
107,"trump just won flordia :d,,,,",trump,23
108,"nothing in the world is irreversible, not even capitalism -fidel castro,,,",nothing world even,2
109,"tsunami warning issued after 7.3 magnitude earthquake in japan: via,,,,",tsunami magnitude earthquake,11
110,"so apparently fidel castro died... if he was watching this game i blame the turnovers.,,,,",fidel castro game blame,2
111,"(3e essai) i bet on alicia vikander,,,,",alicia,1
